,t_dl,t_comp,t_ul,iters_p1,iters_p2,dropout_frac
4007,27.73902004090928,95.85807484797624,111.7336239448382,0,24,0.7
4012,2.3921897963468837,185.34587882807546,12.26193137557766,150,88,0.6272131798753642
4034,14.38636363636374,3.9834449217496513,119.49655447298346,0,1,0.7
4129,26.314087759815266,0.6291453284422914,44.4790653441994,0,1,0.7
4138,6.59375,117.35303266729352,79.125,0,31,0.7
4173,0.4872979214781026,147.2330273183195,52.2796747602024,375,106,0.6357613789672283
4175,14.38636363636374,3.930688254348297,161.0452536533046,0,1,0.7
4183,0.548210161662837,157.7197902093012,43.059416334243224,150,62,0.7
4189,22.663565364234728,145.94226603463744,31.39416860112783,650,43,0.5227777776272301
4290,6.905454545454631,69.64491628882706,81.63740871046525,0,17,0.7
4839,5.262817551963053,165.10899040305458,29.62819204498237,0,83,0.5496223571887883
4990,6.59375,116.30755097131214,79.125,0,23,0.7
5066,2.3921897963468837,66.18452958909825,157.88600635567036,3575,146,0.7
5086,0.7309468822170402,190.51246001384538,8.771362586605164,12350,303,0.7
5114,2.3921897963468837,179.20734788543587,19.73556581986145,300,25,0.7
5139,0.4872979214781026,185.42262756335435,14.090074515167544,275,16,0.6787255257994973
5163,1.4618937644340804,173.99729654154135,26.314087759815266,100,59,0.7
5196,4.3958333333332575,107.8648853252007,142.67414750367107,0,41,0.7
5259,4.3958333333332575,118.31944752890831,123.18055555555566,0,59,0.7
5282,2.3921897963468837,170.52016062955,27.087649574103125,75,39,0.5882411000320642
5430,0.4872979214781026,168.25657043788146,31.256131640640433,700,29,0.524876075113312
5500,6.905454545454631,69.73763834006377,36.77288480117454,0,15,0.7
5649,2.3921897963468837,128.597004085118,69.01080611853513,275,78,0.5191936259689561
5848,5.998527895224015,142.98470719122406,52.75,0,33,0.7
5921,6.905454545454631,69.1747484036548,124.29818181818177,0,43,0.7
5997,1.4618937644340804,162.4077248234389,36.13038141212701,625,29,0.45078268732838356
6191,0.4872979214781026,156.69868740406628,43.059416334243224,1000,6,0.7
6463,14.38636363636374,3.8937411760578016,155.64256868451025,0,1,0.7
6521,1.4066666666667516,165.54524561419112,36.6271859546398,125,17,0.7
6529,1.4618937644340804,184.66361886855407,13.874487367011852,725,100,0.5781883075361677
6717,4.3958333333332575,7.85867850134764,62.62005002265755,0,5,0.7
6832,3.296875,58.40611764086702,121.45517111076879,0,15,0.7
7224,4.3958333333332575,117.65360967457582,87.26388888888891,0,59,0.7
7390,5.262817551963053,100.82029942343524,69.04293242302651,0,100,0.7
7391,0.7309468822170402,175.8268146771445,20.06474210202441,500,15,0.7
7608,2.1099999999999,137.68421812625525,39.33531443647712,100,25,0.7
7741,0.7309468822170402,129.002644298497,70.26640881928597,350,95,0.5104456948009785
8214,1.4066666666667516,177.57976667172102,59.42317267835642,100,19,0.7
8464,5.262817551963053,148.97927681699457,45.75790563104238,0,74,0.4783261416998065
8545,6.905454545454631,69.56075455834093,109.02545454545452,0,63,0.7
8593,14.38636363636374,1.1400899991758706,258.9545454545455,0,1,0.7
8603,1.4618937644340804,174.11757925956658,24.420526975999337,250,17,0.6287839852340631
8879,14.38636363636374,3.101825640308789,258.95454545454527,0,1,0.7
9986,13.157043879907633,0.22768069510175337,75.33148047657573,0,1,0.7
10196,1.4618937644340804,188.69948390603054,9.867782909930611,10750,322,0.7
11194,2.9305555555556566,137.9526061626293,260.9543313274628,25,44,0.7
